Time (s),Velocity Beam 1 (m/s),Velocity Beam 2 (m/s),Velocity Beam 3 (m/s),Velocity Beam 4 (m/s)
1720611604.735,"[0.3805, -0.2475, -0.0834]","[-0.2271, -0.1269, -0.0849]","[-0.0837, -0.1817, -0.0954]","[-0.0424, -0.3818, -0.0876]"
1720611604.748,"[-0.1983, 0.0475, -0.039]","[-0.1715, 0.0968, -0.026]","[0.006, 0.0156, -0.0101]","[-0.0784, 0.0307, -0.0005]"
1720611604.748,"[-0.1498, -0.0206, 0.0039]","[-0.1045, -0.0115, 0.0005]","[0.0393, 0.0583, 0.0127]","[-0.1383, 0.0838, -0.0182]"
1720611604.764,"[0.0326, 0.0788, 0.3359]","[0.0504, 0.0656, 0.0576]","[0.0795, 0.0293, 0.3176]","[0.081, 0.101, -0.0279]"
1720611604.779,"[0.0016, 0.1133, 0.0449]","[0.0943, 0.0763, 0.0485]","[0.023, 0.0061, -0.0213]","[0.1409, 0.0884, -0.0074]"
1720611604.779,"[0.0558, 0.1205, -0.0211]","[-0.0043, -0.02, -0.0945]","[-0.0338, -0.1015, -0.1326]","[0.1096, 0.0152, -0.0583]"
1720611604.795,"[0.0573, 0.0671, 0.0028]","[-0.0009, -0.0442, -0.1359]","[-0.0533, -0.1602, -0.1793]","[0.0359, -0.0475, -0.0859]"
1720611604.795,"[0.0411, 0.0767, -0.0214]","[0.0253, -0.0262, -0.1184]","[-0.0646, -0.1308, -0.1694]","[0.0051, -0.033, -0.0558]"
1720611604.81,"[0.1529, 0.1064, 0.1105]","[0.0439, -0.0212, -0.0323]","[-0.1038, -0.0698, -0.0815]","[-0.0046, 0.0027, -0.0835]"
1720611604.826,"[0.1564, 0.1386, -0.076]","[0.0778, 0.0793, -0.0125]","[-0.098, -0.0065, 0.0084]","[-0.0046, 0.0316, -0.0914]"
1720611604.826,"[0.1117, 0.088, 0.0227]","[-0.0027, 0.0167, -0.0329]","[-0.1088, -0.0727, -0.1022]","[0.0131, -0.0356, -0.0464]"
1720611604.848,"[0.1044, 0.1864, 0.0904]","[-0.0065, 0.0788, -0.0552]","[-0.0791, -0.0012, -0.0997]","[0.0783, 0.1474, 0.0028]"
1720611604.848,"[0.085, 0.1205, 0.0607]","[-0.0657, -0.0071, -0.0621]","[-0.0945, -0.0156, -0.1146]","[0.0371, 0.0635, -0.0007]"
1720611604.864,"[0.1482, 0.1203, 0.034]","[0.0156, 0.0425, -0.0432]","[-0.0262, -0.0313, -0.0062]","[0.0239, 0.0234, 0.1797]"
1720611604.879,"[0.0833, 0.0742, 0.1073]","[-0.0306, -0.0568, -0.0452]","[-0.0416, -0.131, -0.0841]","[0.0889, 0.0168, 0.0837]"
1720611604.879,"[0.0842, 0.0632, 0.0632]","[0.052, -0.0442, -0.0636]","[-0.099, -0.1947, -0.1787]","[0.0707, -0.0515, -0.0216]"
1720611604.899,"[0.0067, 0.0433, 0.023]","[-0.0602, -0.0675, -0.0625]","[-0.1185, -0.1065, -0.1972]","[0.0262, 0.0104, -0.0331]"
1720611604.902,"[0.0534, 0.0272, 0.0557]","[-0.0484, -0.1102, -0.0379]","[-0.1828, -0.2107, -0.0923]","[-0.0985, -0.0674, -0.0437]"
1720611604.918,"[-0.0465, 0.009, 0.0429]","[-0.0725, -0.112, -0.0777]","[-0.1766, -0.2168, -0.2156]","[-0.0903, -0.098, -0.0752]"
1720611604.918,"[0.0672, 0.0361, 0.0408]","[-0.0839, -0.0736, -0.0959]","[-0.1599, -0.2028, -0.1553]","[-0.098, -0.0703, -0.0671]"
1720611604.934,"[0.1094, -0.0674, -0.0813]","[0.026, -0.1546, -0.1683]","[-0.0262, -0.2505, -0.2216]","[-0.0461, -0.1599, -0.1311]"
1720611604.948,"[0.0892, 0.0336, -0.0029]","[-0.072, -0.0904, -0.1467]","[-0.0256, -0.1521, -0.1664]","[0.0503, -0.0033, -0.0591]"
1720611604.948,"[0.0372, 0.0902, 0.0776]","[0.0201, -0.0644, -0.0581]","[-0.0445, -0.0821, -0.1243]","[0.0448, 0.0612, -0.0174]"
1720611604.964,"[0.0946, 0.124, 0.0802]","[-0.0274, -0.015, -0.032]","[-0.1159, -0.0624, -0.085]","[0.025, 0.0769, 0.0207]"
1720611604.98,"[0.0083, -0.0148, 0.087]","[-0.0411, -0.0955, 0.0149]","[-0.1284, -0.1707, -0.048]","[-0.0627, -0.0721, 0.0077]"
1720611604.98,"[-0.0465, -0.0094, -0.0415]","[-0.0271, -0.0781, -0.1179]","[-0.0872, -0.1385, -0.0886]","[-0.1169, -0.0601, -0.0217]"
1720611604.995,"[0.0138, 0.0672, -0.0189]","[0.0112, -0.0313, -0.0911]","[-0.0496, -0.079, -0.0261]","[0.0372, -0.0282, 0.0633]"
1720611604.995,"[0.1119, 0.0402, 0.0064]","[-0.027, -0.0644, 0.1094]","[-0.0141, -0.1033, -0.0681]","[0.0584, 0.0112, 0.0406]"
1720611605.011,"[0.0857, 0.0543, -0.0576]","[-0.0091, -0.0573, -0.1445]","[-0.0491, -0.1042, -0.1045]","[0.0191, -0.0041, -0.11]"
1720611605.026,"[0.1012, 0.0904, 0.0132]","[-0.0163, -0.0411, -0.1436]","[-0.0667, -0.0835, -0.1462]","[0.0502, 0.0257, -0.0978]"
1720611605.048,"[0.1015, 0.0906, 0.0531]","[-0.0279, -0.0292, -0.0851]","[-0.0732, -0.0859, -0.0626]","[0.0531, 0.0292, 0.0699]"
1720611605.048,"[0.0458, 0.1053, 0.0926]","[-0.0094, -0.0326, 0.0143]","[-0.0784, -0.0665, -0.0637]","[0.0379, 0.009, 0.0648]"
1720611605.048,"[0.0925, 0.1487, 0.0463]","[-0.016, -0.03, -0.0726]","[-0.074, -0.0807, -0.0665]","[0.0383, 0.0411, 0.037]"
1720611605.064,"[0.0706, 0.1247, 0.0458]","[0.0107, -0.0547, -0.0506]","[-0.0529, -0.0986, -0.1082]","[0.034, 0.0155, -0.0299]"
1720611605.08,"[0.0315, 0.1324, 0.0416]","[0.1139, -0.0352, -0.062]","[0.0283, -0.1428, -0.1444]","[0.0617, -0.0719, -0.0601]"
1720611605.08,"[0.2331, 0.238, 0.0556]","[0.1542, 0.0936, -0.083]","[0.0642, 0.0186, -0.1562]","[0.2391, 0.1732, -0.0526]"
1720611605.095,"[0.2159, 0.0751, 0.0286]","[0.0448, -0.0481, -0.0094]","[0.0127, -0.2123, -0.1893]","[0.2549, -0.0012, 0.0269]"
1720611605.095,"[0.1205, 0.033, 0.0218]","[-0.0844, -0.107, -0.1372]","[-0.2083, -0.2074, -0.2029]","[-0.0685, -0.0709, -0.0772]"
1720611605.111,"[0.0344, 0.1389, 0.167]","[-0.1218, -0.0298, -0.0277]","[-0.1852, -0.1024, -0.0816]","[0.0301, 0.0603, 0.0915]"
1720611605.127,"[0.1209, 0.0805, 0.2072]","[-0.0484, -0.0405, 0.0177]","[-0.0948, -0.0885, -0.1211]","[-0.0017, -0.0807, 0.0362]"
1720611605.127,"[0.0983, 0.1018, 0.1338]","[0.0158, -0.0313, 0.049]","[-0.0138, -0.0838, -0.1008]","[-0.019, 0.0584, 0.0729]"
1720611605.149,"[0.161, 0.1138, 0.2088]","[0.0026, -0.0431, -0.0058]","[-0.0026, -0.1458, -0.1244]","[0.1209, 0.0239, 0.0712]"
1720611605.149,"[0.1081, 0.1889, 0.1955]","[-0.1335, -0.0091, -0.0124]","[-0.1088, -0.1346, -0.1376]","[0.0236, 0.0657, 0.0717]"
1720611605.164,"[0.1615, 0.2037, 0.2902]","[0.0023, -0.031, -0.0434]","[-0.0569, -0.1137, -0.1632]","[0.1436, 0.0992, 0.0525]"
1720611605.18,"[0.1245, 0.1392, 0.2381]","[-0.007, -0.0865, 0.002]","[-0.0768, -0.1344, -0.0823]","[0.0912, 0.0629, 0.1244]"
1720611605.18,"[0.0484, -0.0071, 0.0616]","[-0.1545, -0.1712, -0.0294]","[-0.2926, -0.1982, -0.1015]","[0.0596, -0.0315, -0.0294]"
1720611605.227,"[0.0133, -0.1186, 0.1074]","[-0.0384, -0.1894, -0.1176]","[-0.3544, -0.2505, -0.1573]","[0.0898, -0.1611, -0.0166]"
1720611605.227,"[-0.0381, -0.1129, -0.0223]","[-0.1494, -0.2096, -0.0995]","[-0.3137, -0.2925, -0.2175]","[-0.2376, -0.2399, -0.1223]"
1720611605.227,"[-0.1013, -0.1219, -0.025]","[-0.1738, -0.168, -0.1224]","[-0.2706, -0.2513, -0.1979]","[-0.2057, -0.1984, -0.1065]"
1720611605.227,"[-0.1154, -0.1524, -0.1692]","[-0.2065, -0.1741, -0.1693]","[-0.2494, -0.2584, -0.211]","[-0.193, -0.1899, -0.1666]"
1720611605.227,"[-0.1559, -0.162, -0.1596]","[-0.2244, -0.2313, -0.2314]","[-0.2631, -0.2674, -0.2386]","[-0.2045, -0.1973, -0.1925]"
1720611605.249,"[-0.147, -0.1615, -0.0323]","[-0.1945, -0.2143, -0.1976]","[-0.1228, -0.2459, -0.2164]","[-0.0157, -0.1706, -0.1308]"
1720611605.249,"[-0.0949, 0.0621, 0.1684]","[-0.0905, -0.0887, -0.0787]","[-0.0749, -0.1996, -0.1581]","[0.1098, -0.0497, 0.0008]"
1720611605.265,"[-0.0351, 0.0164, 0.0236]","[-0.1436, -0.0942, -0.0319]","[-0.1063, -0.0962, -0.1059]","[0.0151, 0.0024, -0.0515]"
1720611605.265,"[-0.019, 0.0097, 0.0276]","[-0.0896, -0.0972, -0.05]","[-0.1107, -0.111, -0.0678]","[0.009, -0.0137, -0.0139]"
1720611605.28,"[0.0008, 0.0188, -0.0454]","[-0.0386, -0.0822, -0.0328]","[-0.1058, -0.1093, -0.0578]","[-0.0101, -0.0171, -0.0068]"
1720611605.296,"[-0.015, -0.0266, 0.0578]","[-0.058, -0.0804, -0.0529]","[-0.0861, -0.0991, -0.0629]","[-0.02, -0.0208, -0.0118]"
1720611605.296,"[-0.0105, -0.0126, -0.0044]","[-0.0827, -0.0532, -0.0543]","[-0.0797, -0.0567, -0.0645]","[-0.0093, 0.0096, -0.0097]"
1720611605.312,"[-0.0265, -0.0065, 0.0011]","[-0.0861, -0.0479, -0.0782]","[-0.0737, -0.0603, -0.0664]","[-0.0135, 0.0004, -0.0285]"
1720611605.327,"[-0.0265, -0.0102, -0.0153]","[-0.0907, -0.0607, -0.0906]","[-0.0894, -0.0895, -0.0836]","[-0.0025, -0.035, -0.0314]"
1720611605.327,"[-0.0352, -0.0205, -0.0241]","[-0.1029, -0.0771, -0.0891]","[-0.0992, -0.0871, -0.0979]","[-0.0401, -0.0196, -0.0304]"
1720611605.349,"[-0.0405, -0.0124, -0.0188]","[-0.0948, -0.0683, -0.083]","[-0.1141, -0.0873, -0.0942]","[-0.0395, -0.03, -0.0288]"
1720611605.365,"[-0.0314, -0.0013, -0.0459]","[-0.0837, -0.0746, -0.0756]","[-0.1097, -0.0797, -0.0989]","[-0.0744, -0.0259, -0.0359]"
1720611605.365,"[-0.0284, 0.0255, 0.0781]","[-0.0904, -0.0536, -0.0757]","[-0.11, -0.1034, -0.086]","[-0.0368, 0.02, -0.0423]"
1720611605.365,"[-0.0053, 0.0328, -0.1377]","[-0.0163, -0.0672, -0.0445]","[-0.0628, -0.0352, 0.0942]","[0.0033, 0.0342, 0.0009]"
1720611605.381,"[0.0662, 0.0366, -0.0332]","[-0.0229, -0.0342, -0.073]","[-0.0635, -0.0482, -0.0203]","[-0.0298, 0.0279, 0.0278]"
1720611605.396,"[0.0021, 0.0325, -0.0905]","[-0.0208, -0.0344, -0.0277]","[-0.0614, -0.0493, -0.0421]","[0.0421, 0.0278, 0.0315]"
1720611605.396,"[0.0182, 0.0397, -0.1244]","[-0.0238, -0.0332, -0.0138]","[-0.0348, -0.0456, -0.0121]","[0.0311, 0.0249, 0.1106]"
1720611605.412,"[0.056, 0.0535, 0.0786]","[-0.0184, -0.0325, -0.0629]","[-0.0464, -0.0621, -0.058]","[0.0613, 0.022, 0.035]"
1720611605.428,"[0.0866, 0.0533, 0.0744]","[-0.0011, -0.0453, -0.0502]","[-0.0412, -0.0738, -0.0655]","[0.0445, 0.0359, 0.0344]"
1720611605.428,"[0.0839, 0.0946, 0.0587]","[-0.0291, -0.0313, -0.0358]","[-0.078, -0.0635, -0.0969]","[0.0371, 0.0748, -0.0089]"
1720611605.45,"[0.0619, 0.0811, 0.0866]","[-0.0365, -0.0026, -0.0123]","[-0.0847, -0.0287, -0.1256]","[0.0337, 0.0693, -0.005]"
1720611605.45,"[0.0586, 0.0583, -0.029]","[-0.0299, 0.0096, 0.1031]","[-0.0408, -0.0417, -0.0637]","[0.0573, 0.0313, 0.0068]"
1720611605.465,"[0.0646, 0.1137, 0.1018]","[0.0221, 0.0333, 0.2508]","[-0.0582, -0.0371, -0.0909]","[0.0768, 0.0441, 0.0366]"
1720611605.465,"[0.1166, 0.0687, 0.1085]","[0.0022, -0.0073, -0.0587]","[-0.0651, -0.0622, -0.0744]","[0.0127, 0.0109, -0.0065]"
1720611605.481,"[0.0946, 0.0891, 0.1016]","[0.0024, -0.018, -0.0131]","[-0.073, -0.0713, -0.0659]","[0.0429, 0.0342, 0.0299]"
1720611605.497,"[0.1032, 0.1185, -0.0479]","[-0.0292, -0.0062, -0.0369]","[-0.1321, -0.0802, -0.0916]","[0.0068, 0.0641, -0.0336]"
1720611605.497,"[0.0445, 0.0272, -0.0544]","[-0.0427, -0.0827, -0.1246]","[-0.1421, -0.1982, -0.1831]","[-0.0585, -0.0534, -0.0944]"
1720611605.528,"[0.0458, 0.1416, 0.079]","[-0.0328, -0.0561, -0.0957]","[-0.0803, -0.1334, -0.1002]","[-0.0492, 0.0496, -0.0209]"
1720611605.528,"[0.0919, 0.1017, 0.0608]","[-0.0224, -0.1244, -0.0661]","[-0.1676, -0.1921, 0.0925]","[-0.031, -0.0274, 0.0499]"
1720611605.528,"[0.0848, 0.177, 0.1532]","[-0.0475, -0.0138, -0.012]","[-0.062, -0.0833, 0.0025]","[0.0496, 0.0953, 0.0876]"
1720611605.55,"[0.1132, 0.1534, 0.1214]","[-0.0978, -0.0146, -0.0469]","[-0.0737, -0.0618, -0.094]","[-0.0123, 0.088, 0.0638]"
1720611605.55,"[0.0839, 0.0332, 0.0166]","[-0.1058, -0.0809, -0.034]","[-0.1558, -0.1935, -0.1163]","[0.0078, -0.0327, -0.0267]"
1720611605.566,"[0.1098, 0.1065, 0.1318]","[-0.0435, -0.0154, -0.0499]","[-0.1288, -0.1118, -0.067]","[0.0578, 0.0463, 0.0454]"
1720611605.566,"[-0.3483, -0.0237, 0.0389]","[-0.0292, -0.1279, -0.045]","[-0.2491, -0.1504, -0.134]","[-0.0001, -0.0296, -0.0048]"
1720611605.581,"[0.089, 0.077, 0.0635]","[-0.0125, -0.0742, -0.016]","[-0.145, -0.1435, -0.2282]","[-0.0567, -0.0423, 0.0504]"
1720611605.597,"[0.1342, 0.0823, 0.1115]","[0.0, -0.0649, -0.0486]","[-0.1576, -0.1136, -0.0924]","[-0.0383, 0.046, 0.0392]"
1720611605.597,"[0.0965, 0.1972, 0.1245]","[-0.0125, 0.0281, -0.0041]","[-0.1711, -0.0541, -0.0794]","[-0.0605, 0.0652, 0.0438]"
1720611605.612,"[0.0915, 0.0521, 0.0797]","[-0.1191, -0.1285, -0.0875]","[-0.1847, -0.2054, -0.1687]","[-0.0007, -0.0313, -0.0032]"
1720611605.628,"[0.0431, 0.0661, 0.2098]","[-0.0775, -0.1242, 0.0303]","[-0.1461, -0.1633, -0.0755]","[0.0432, -0.0329, 0.0844]"
1720611605.628,"[0.1188, 0.2114, 0.2]","[-0.06, 0.0176, 0.0319]","[-0.1478, -0.0673, -0.072]","[0.1286, 0.1098, 0.08]"
1720611605.65,"[0.0565, 0.0415, 0.0574]","[-0.0316, -0.1286, -0.1087]","[-0.2938, -0.281, -0.1766]","[-0.0078, -0.0738, -0.0486]"
1720611605.65,"[-0.0901, 0.0571, 0.1006]","[-0.0644, -0.1418, -0.1303]","[-0.1481, -0.2532, -0.2861]","[0.0124, -0.0688, -0.0532]"
1720611605.666,"[0.1556, 0.1021, 0.1894]","[-0.0303, 0.0013, -0.0457]","[-0.0811, -0.0671, -0.0812]","[-0.0306, -0.019, 0.0579]"
1720611605.681,"[0.1954, 0.1319, 0.2572]","[0.0216, -0.05, 0.0337]","[0.01, -0.1429, -0.1177]","[0.1752, 0.0381, 0.0157]"
1720611605.681,"[0.3985, 0.3369, 0.174]","[0.132, 0.0868, 0.0336]","[0.0992, 0.0076, -0.046]","[0.2847, 0.1819, 0.0954]"
1720611605.697,"[0.3697, 0.2328, 0.2549]","[0.058, -0.01, 0.0462]","[-0.0557, -0.1062, -0.035]","[0.1979, 0.1258, 0.1757]"
1720611605.697,"[0.2315, 0.2719, 0.0721]","[-0.0729, 0.0643, 0.0062]","[-0.1795, -0.0058, -0.0652]","[0.0916, 0.1277, 0.078]"
1720611605.713,"[0.0672, 0.0003, 0.094]","[-0.1037, -0.1923, -0.107]","[-0.2229, -0.2524, -0.1739]","[-0.0317, -0.0663, 0.0624]"
1720611605.728,"[0.0038, -0.028, 0.1677]","[-0.127, -0.1469, -0.1537]","[-0.0826, -0.2194, -0.1485]","[-0.0962, -0.0565, 0.0441]"
1720611605.728,"[0.0336, 0.0893, 0.0082]","[-0.1283, -0.1179, -0.1932]","[-0.1469, -0.1245, -0.2021]","[0.0698, 0.0352, 0.0372]"
1720611605.744,"[-0.0029, 0.0259, 0.1186]","[-0.105, -0.1082, -0.1451]","[-0.1733, -0.1718, -0.1139]","[-0.0642, -0.0543, -0.0591]"
1720611605.75,"[0.0427, 0.0168, 0.0698]","[-0.0757, -0.0957, -0.0959]","[-0.11, -0.182, -0.1567]","[-0.0851, -0.0656, -0.0074]"
1720611605.766,"[0.0783, 0.0492, 0.0535]","[-0.0698, -0.1105, -0.0987]","[-0.0923, -0.1848, -0.1348]","[0.0195, 0.1049, -0.0062]"
1720611605.766,"[0.0522, 0.0074, 0.0782]","[-0.096, -0.0685, -0.1607]","[-0.159, -0.1296, -0.1387]","[-0.0207, 0.012, 0.002]"
1720611605.782,"[0.1342, 0.0552, 0.0957]","[-0.0142, -0.062, -0.071]","[-0.0729, -0.1054, -0.0999]","[-0.0806, -0.026, 0.0625]"
1720611605.797,"[0.1351, 0.1104, 0.0716]","[-0.0386, -0.0311, -0.0744]","[-0.1303, -0.126, -0.0749]","[0.0887, 0.0203, 0.0499]"
1720611605.797,"[0.1035, 0.1171, 0.1935]","[-0.0316, -0.0349, -0.0187]","[-0.0634, -0.0718, -0.0576]","[0.0299, 0.0559, 0.0967]"
1720611605.813,"[0.1944, 0.159, 0.227]","[0.0013, 0.0486, 0.0555]","[-0.0652, -0.0304, -0.082]","[0.074, 0.0764, 0.0872]"
1720611605.829,"[0.1235, 0.0961, 0.0864]","[-0.04, 0.0266, -0.103]","[-0.0539, -0.1478, -0.1157]","[0.0701, -0.0115, 0.0045]"
1720611605.851,"[0.1269, 0.0689, 0.0875]","[0.0257, -0.0641, 0.0015]","[-0.0211, -0.1631, -0.1114]","[0.063, -0.0427, 0.0035]"
1720611605.851,"[0.1076, 0.0844, 0.0217]","[-0.0328, -0.0034, -0.0046]","[-0.0906, -0.1199, -0.1336]","[0.012, -0.0549, 0.0123]"
1720611605.851,"[0.091, 0.0461, 0.2521]","[-0.0388, -0.0617, -0.0351]","[-0.1097, -0.1709, -0.044]","[-0.0195, -0.0733, -0.1369]"
1720611605.867,"[0.0344, -0.0446, 0.1949]","[-0.1071, -0.0915, 0.0651]","[-0.1665, -0.1931, -0.1237]","[-0.0697, -0.133, 0.0081]"
1720611605.867,"[-0.0352, -0.006, 0.0485]","[-0.1386, -0.1035, -0.0843]","[-0.239, -0.1821, -0.2014]","[-0.1387, -0.0954, -0.0116]"
1720611605.882,"[-0.0799, -0.0799, 0.0713]","[-0.1197, -0.1447, -0.144]","[-0.2128, -0.2092, -0.1923]","[-0.0638, -0.1691, -0.0635]"
1720611605.898,"[0.0208, -0.034, 0.1922]","[-0.067, -0.0968, 0.0605]","[-0.0976, -0.1477, -0.0074]","[-0.0398, -0.07, 0.072]"
1720611605.898,"[0.1961, 0.0721, 0.18]","[-0.0013, -0.1297, -0.0963]","[-0.1013, -0.1524, -0.0865]","[0.0982, 0.006, 0.1013]"
1720611605.913,"[0.161, 0.1008, 0.1469]","[-0.0672, -0.0703, -0.0616]","[-0.0635, -0.1226, -0.0854]","[0.0984, 0.0489, 0.0851]"
1720611605.929,"[0.0425, 0.1675, 0.204]","[-0.0973, -0.0162, -0.0117]","[-0.0404, -0.0016, -0.0337]","[0.1359, 0.1282, 0.0919]"
1720611605.929,"[0.0118, 0.1045, 0.0782]","[-0.1511, -0.0856, -0.0839]","[-0.085, -0.1379, -0.1361]","[0.0639, 0.034, 0.023]"
1720611605.945,"[-0.0037, 0.1655, 0.0724]","[0.1849, -0.0124, -0.0645]","[-0.0737, -0.0206, -0.1287]","[0.0771, 0.1326, 0.1013]"
1720611605.951,"[0.1834, 0.0294, 0.0156]","[-0.1948, -0.0924, -0.0147]","[-0.2188, -0.179, 0.1212]","[0.0002, 0.0186, -0.2077]"
1720611605.967,"[-0.0193, -0.0295, -0.0271]","[-0.2172, -0.2267, -0.1169]","[-0.2308, -0.2516, -0.2937]","[-0.0455, -0.0518, -0.1767]"
1720611605.967,"[-0.0567, -0.0574, -0.03]","[-0.1879, -0.2288, -0.1341]","[-0.2436, -0.2981, -0.2681]","[-0.103, -0.0995, -0.1212]"
1720611605.982,"[0.0159, -0.0258, -0.0687]","[-0.1368, -0.1759, -0.2115]","[-0.2373, -0.2968, -0.2972]","[-0.086, -0.1345, -0.1659]"
1720611605.998,"[-0.0237, -0.0082, 0.0602]","[-0.1952, -0.1566, -0.1129]","[-0.3232, -0.2582, -0.2411]","[-0.153, -0.0943, -0.1173]"
1720611606.014,"[0.1387, 0.0984, 0.107]","[-0.0187, -0.139, -0.0876]","[-0.1801, -0.2044, -0.1513]","[-0.0002, -0.0033, 0.0573]"
1720611606.014,"[0.1858, 0.1424, 0.1424]","[0.0246, -0.0377, -0.08]","[-0.0974, -0.1444, -0.1325]","[0.0296, 0.0303, 0.0385]"
1720611606.029,"[0.2042, 0.1411, 0.0585]","[0.0358, -0.0131, -0.0344]","[-0.1484, -0.1597, -0.1532]","[-0.0205, -0.0111, -0.0171]"
1720611606.029,"[0.1623, 0.099, 0.054]","[0.0146, -0.055, -0.0551]","[-0.2015, -0.145, -0.1961]","[-0.0961, 0.0055, -0.0537]"
1720611606.045,"[0.1631, -0.0021, 0.0606]","[-0.0254, -0.0977, -0.113]","[-0.1837, -0.2133, -0.2006]","[0.0284, -0.0102, -0.0434]"
1720611606.051,"[-0.0149, 0.0588, 0.0762]","[-0.1493, -0.1088, -0.0599]","[-0.2087, -0.1967, -0.1274]","[-0.0852, -0.0196, -0.0034]"
1720611606.067,"[0.0178, 0.0461, 0.0371]","[-0.1388, -0.1259, -0.1019]","[-0.2404, -0.194, -0.1819]","[-0.1105, -0.0218, -0.0336]"
1720611606.067,"[-0.1007, 0.044, -0.0034]","[-0.1526, -0.1245, -0.1228]","[-0.195, -0.2055, -0.1958]","[-0.0698, -0.0501, -0.0579]"
1720611606.083,"[0.0386, 0.0117, -0.0446]","[-0.1036, -0.1281, -0.1632]","[-0.1953, -0.215, -0.2953]","[-0.0578, -0.0683, -0.1406]"
1720611606.098,"[0.0313, -0.0337, -0.022]","[-0.1459, -0.1507, -0.2307]","[-0.2718, -0.2871, -0.3297]","[-0.0498, -0.1357, -0.1374]"
1720611606.107,"[0.0615, 0.1504, 0.0681]","[-0.064, -0.0506, -0.0626]","[-0.0986, -0.1168, -0.193]","[-0.0036, 0.0094, -0.0899]"
1720611606.107,"[0.1496, 0.2017, 0.1433]","[0.005, -0.0332, -0.0033]","[-0.0668, -0.1237, -0.1144]","[0.1141, -0.0068, 0.0391]"
1720611606.123,"[0.1716, 0.1688, 0.1211]","[-0.0071, -0.0148, -0.0952]","[-0.0818, -0.1255, -0.1717]","[0.0932, 0.0489, 0.0061]"
1720611606.138,"[0.2072, 0.1272, 0.1601]","[0.0176, -0.0209, -0.0068]","[-0.1145, -0.1528, -0.1969]","[0.039, 0.0077, 0.0056]"
1720611606.138,"[0.1357, 0.1194, 0.1646]","[-0.0567, -0.0296, -0.0079]","[-0.2264, -0.1605, -0.1113]","[-0.0584, -0.0011, 0.0128]"
1720611606.167,"[0.054, 0.0502, 0.0751]","[-0.0752, -0.0771, -0.0114]","[-0.1877, -0.1696, -0.1733]","[-0.0887, -0.0356, 0.0365]"
1720611606.167,"[0.1645, 0.048, 0.0973]","[0.0558, -0.0729, -0.0666]","[-0.0235, -0.141, -0.1557]","[0.0478, -0.0445, 0.0475]"
1720611606.167,"[0.1888, 0.0197, 0.1775]","[0.0577, -0.0772, -0.0458]","[-0.0322, -0.1289, -0.112]","[0.044, -0.0329, -0.0384]"
1720611606.183,"[0.1489, 0.1687, 0.1239]","[-0.1143, 0.0744, -0.0636]","[-0.1261, 0.0021, -0.1007]","[0.045, 0.0907, 0.0858]"
1720611606.198,"[0.0352, 0.1759, 0.1117]","[-0.1244, 0.071, -0.0904]","[-0.138, -0.0016, -0.1331]","[-0.047, 0.0895, 0.0527]"
1720611606.198,"[0.0241, -0.049, 0.0466]","[-0.1027, -0.1443, -0.0717]","[-0.1865, -0.2238, -0.1082]","[-0.0794, -0.1209, 0.0082]"
1720611606.214,"[-0.0164, -0.0398, -0.0302]","[-0.1392, -0.1629, -0.1596]","[-0.1967, -0.2351, -0.2268]","[-0.0435, -0.1081, -0.0851]"
1720611606.214,"[-0.055, -0.0291, 0.0207]","[-0.1496, -0.156, -0.1531]","[-0.2408, -0.2243, -0.2244]","[-0.0961, -0.0987, -0.0871]"
1720611606.229,"[-0.0458, -0.045, -0.0164]","[-0.1436, -0.1438, -0.1542]","[-0.2308, -0.2074, -0.2051]","[-0.114, -0.1363, -0.1217]"
1720611606.245,"[-0.0845, 0.0354, 0.1093]","[-0.1515, -0.0938, -0.0656]","[-0.1379, -0.1609, -0.1857]","[-0.0125, -0.079, -0.0901]"
1720611606.252,"[-0.049, 0.0429, 0.069]","[-0.0651, -0.0411, -0.0185]","[-0.0639, -0.0507, -0.1657]","[-0.0449, -0.0005, -0.0419]"
1720611606.267,"[0.1229, 0.0654, -0.0091]","[-0.0171, -0.0219, -0.0522]","[-0.0283, -0.0483, -0.1384]","[0.0945, 0.0297, 0.0286]"
1720611606.267,"[0.1514, 0.0722, 0.0069]","[0.026, -0.0256, -0.1069]","[-0.0236, -0.0776, -0.1163]","[0.0762, 0.0321, -0.0463]"
1720611606.283,"[0.1237, 0.0989, 0.1311]","[0.0855, -0.0096, -0.008]","[0.011, -0.0687, -0.112]","[0.0788, 0.034, -0.0074]"
1720611606.299,"[0.1434, 0.0691, 0.0808]","[0.0841, -0.0112, -0.0046]","[0.0353, -0.0822, -0.1063]","[0.0749, -0.0034, 0.0058]"
1720611606.299,"[0.169, 0.1205, 0.0782]","[-0.0347, -0.0691, -0.0802]","[-0.2347, -0.2211, -0.2109]","[0.0701, -0.0307, -0.0389]"
1720611606.337,"[0.2165, 0.1464, 0.072]","[-0.0439, -0.0364, -0.1044]","[-0.1478, -0.1792, -0.1869]","[-0.0316, 0.0143, -0.0072]"
1720611606.337,"[-0.0886, 0.1252, 0.1549]","[-0.2295, -0.0799, -0.0591]","[-0.2357, -0.1256, -0.1252]","[-0.006, 0.0018, 0.0256]"
1720611606.337,"[-0.0297, -0.0351, 0.1056]","[-0.2321, -0.165, -0.0439]","[-0.1616, -0.203, -0.1217]","[-0.0452, 0.0136, 0.0224]"
